Gn	Genèse
Ex	Exode
Lv	Lévitique
Nb	Nombres
Dt	Deutéronome
Jos	Josué
Jg	Juges
1S	1 Samuel
2S	2 Samuel
1R	1 Rois
2R	2 Rois
1Ch	1 Chroniques
2Ch	2 Chroniques
Esd	Esdras
Ne	Néhémie
1M	1 Maccabées
2M	2 Maccabées
Is	Isaïe
Es	Esaïe
Jr	Jérémie
Ez	Ezéquiel
Os	Osée
Jl	Joël
Am	Amos
Ab	Abdias
Jon	Jonas
Mi	Michée
Na	Nahum
So	Sophonie
Ha	Habaquq
Ag	Aggée
Za	Zacharie
Ml	Malachie
Dn	Daniel
Jb	Job
Pr	Proverbes
Qo	Qohéleth
Ct	Cantiques des cantiques
Rt	Ruth
Lm	Lamentations
Est	Esther
Tb	Tobie
Jdt	Judith
Ba	Baruch
Sg	Sagesse
Si	Siracide (Ecclésiastique)
Ps	Psaumes
Mt	Matthieu
Lc	Luc
Jn	Jean
Mc	Marc
Ac	Acte
1Co	1 Corinthiens
2Co	2 Corinthiens
Ga	Galates
Ep	Éphésiens
Ph	Philippiens
Col	Colossiens
1Th	1 Thessaloniciens
2Th	2 Thessaloniciens
1Tm	1 Timothée
2Tm	2 Timothée
Tt	Tite
Phm	Philémon
He	Hébreux
Jc	Jacques
1P	1 Pierre
2P	2 Pierre
1Jn	1 Jean
2Jn	2 Jean
3Jn	3 Jean
Jude	Jude

Ap	Apocalypse
Rm	Romains
